0,1,2,3,ID,condition
"(44.47613001523598, 44.96542842632289)","(2668.523869984764, 78.08593920046496)","(27.915874628164943, 2018.6467750126972)","(2638.414314735544, 2032.1960748748463)",AD10_d01_apr19,search
"(60.71541028803563, 48.976021185518675)","(2676.0894217514333, 57.91747079735933)","(45.81299426830117, 1980.3291373431043)","(2634.362656896177, 1986.290103750998)",AD10_d02_apr05,search
"(44.26866429659697, 19.008379888268337)","(2664.59878110716, 55.95606907059437)","(13.232605383443115, 1953.5893854748606)","(2643.908075165058, 2005.3161503301171)",AD10_d04_apr22,search
"(61.40676920844476, 21.77671769571225)","(2684.7833925850687, 24.707864760937355)","(83.39037219763429, 1960.7305013422333)","(2678.921098454618, 1962.196074874846)",AD10_d05_apr13,search
"(17.701915403032217, 26.516759776536674)","(2643.671588188348, 42.845570630487146)","(38.48403830806012, 1991.9118116520353)","(2649.6093375897844, 1977.0674381484441)",AD10_d06_apr06,search
"(40.58800696510184, 17.371145614162742)","(2653.87684103606, 10.04690560835843)","(39.12315896394091, 1971.4783791627372)","(2637.76351302329, 1949.5056591453244)",AD10_d07_apr16,search
"(51.83722701879071, 11.577196546470532)","(2673.472574911122, 29.251142712036653)","(54.78288471305177, 1945.4014728288475)","(2642.543169121381, 1967.4939055358052)",AD10_d08_apr21,search
"(46.55891315388487, 41.54527316259146)","(2639.3507581803674, 63.90978016397003)","(27.176340419356848, 1997.6941522164989)","(2612.5133497787133, 2006.6399550170502)",AD11_d01_apr30,search
"(38.71595443662443, 27.83403468040342)","(2653.711238482188, 36.68842051802949)","(25.43437568018544, 1959.5658782558226)","(2638.953928752811, 1990.5562286875138)",AD11_d02_apr16,search
"(41.447798012043336, 30.539396357832175)","(2651.9781615033016, 45.180621054922995)","(23.87832837553458, 1970.5016687223392)","(2634.4086918667927, 1999.7841181165206)",AD11_d03_apr05,search
"(88.17278531524312, 40.35032286149635)","(2672.8568163679893, 85.40582601755841)","(37.10988173837302, 1986.748059203367)","(2654.834615105565, 2034.8072625698328)",AD11_d05_apr13,search
"(51.41257346005932, 10.266306319379055)","(2720.559348472756, 22.228868896466793)","(52.90789378219529, 1972.1265689617649)","(2704.1108249292606, 2005.0236160487561)",AD12_d01_apr22,search
"(27.30965682362296, 14.559856344772925)","(2690.837190742219, 60.3300079808464)","(25.83320031923347, 1981.1999201915407)","(2652.4493216280925, 1993.0115722266564)",AD12_d02_apr05,search
"(44.65127330769758, 37.8402742508888)","(2698.041681781905, 48.49035043169124)","(15.743923674090865, 2029.4045200609448)","(2701.084560690706, 2020.2758833345426)",AD12_d03_apr16,search
"(47.9425379090178, 31.64684756584211)","(2687.926576217079, 43.77773343974468)","(17.61532322426126, 2013.5303272146848)","(2684.893854748603, 2027.1775738228255)",AD12_d04_apr04,search
"(29.82757745048241, 19.276536312849203)","(2699.6599796851197, 43.24809547993891)","(22.336465210766846, 2008.9159471813107)","(2671.1937531742005, 2001.424834941595)",AD12_d05_apr14,search
"(48.04773996952747, 34.61223971559184)","(2699.627221940071, 45.206449974606585)","(41.993905535804856, 2000.5949720670394)","(2696.60030472321, 2041.4583544946677)",AD12_d06_apr01,search
"(59.0069288253643, 16.556373793803687)","(2707.3135384168904, 62.24308931292171)","(48.34669520423688, 2019.1574040484657)","(2696.653304795763, 2038.9549807734165)",AD12_d08_apr10,search
"(76.21018646158291, 34.89838932017756)","(2711.254081114416, 56.259486323732744)","(44.168540956250126, 2016.903032721469)","(2705.150910541972, 2048.9446782268014)",AD12_d09_apr19,search
"(49.776971631720016, 22.361205833272834)","(2681.823695857216, 49.433686425306405)","(13.680330842341732, 2001.6603424508453)","(2660.767322063412, 2025.7247696437641)",AD12_d10_apr32,search
"(35.00388159326678, 43.14216788797785)","(2687.9096350576797, 41.647573097293844)","(35.00388159326678, 2023.4802655445117)","(2692.393419429732, 2029.4586447072484)",AD13_d01_apr19,search
"(40.824022346368, 40.25165058405264)","(2703.16531234129, 43.24809547993891)","(40.824022346368, 1998.4283900457087)","(2701.6670898933467, 2011.9123920771967)",AD13_d02_apr13,search
"(27.904919103242833, 34.42708408909584)","(2680.5567365595307, 38.94351737647867)","(15.861097003554733, 2009.6139084379313)","(2697.116991946601, 2042.7344192120734)",AD13_d03_apr05,search
"(42.2813973735756, 19.04668794892268)","(2691.4499383298275, 39.77802365232537)","(28.954110135673886, 1992.9660088514838)","(2676.6418413988254, 2006.2932960893856)",AD13_d04_apr21,search
"(36.94540375825272, 1.273489080751915)","(2680.922041645506, 16.052564753682418)","(48.76866429659708, 1997.9266124936519)","(2688.3115794819714, 1986.1033519553075)",AD13_d05_apr22,search
"(23.974425016324176, 16.328847130523172)","(2677.5229993470216, 26.84687658710027)","(14.95897119640108, 2023.7698977000655)","(2683.5333018936367, 2044.8059566132192)",AD13_d06_apr10,search
"(29.17597765363098, 13.196872959442771)","(2671.7791845026486, 39.99510266270045)","(14.288072262932246, 2006.687404773997)","(2673.2679750417183, 2020.086519625626)",AD13_d07_apr26,search
"(28.033301893636803, 48.04647028948693)","(2683.012624247262, 54.07708771675243)","(8.433795255024052, 2015.5354059348474)","(2667.9360806790983, 2038.1502212870928)",AD13_d08_apr14,search
"(29.684357541899203, 35.89744612928962)","(2702.339802655445, 56.95381992309376)","(31.188384241456674, 2021.212689545092)","(2675.2673220634115, 2045.2771167380106)",AD13_d09_apr06,search
"(48.82046724225461, -0.20035551041155486)","(2700.6742001015737, 25.269426104621743)","(20.35424073133538, 1975.955053326562)","(2694.681310309801, 2022.3999492127987)",AD13_d10_apr23,search
"(44.76866429659697, 20.486287455561524)","(2679.877856780092, 41.176993397663864)","(29.989588623666464, 2008.2719654647033)","(2678.3999492127987, 2018.6173184357544)",AD13_d11_apr01,search
"(50.90263367916998, 17.804868316041848)","(2702.107741420591, 26.8072625698328)","(34.39824421388664, 2017.8367916999207)","(2691.6049481245013, 2026.8391859537116)",AD13_d12_apr16,search
"(37.39653921497461, 35.33559457302499)","(2677.680222012625, 10.161829790321462)","(55.16625553217693, 2000.370057316985)","(2689.5266995574266, 1982.6003409997825)",AD14_d02_apr13,search
"(22.113581948777323, 17.82257128346555)","(2678.8864180512223, 29.837372125081856)","(34.128382790393744, 1985.2462090981649)","(2669.87531742001, 1976.2351084669524)",AD14_d03_apr26,search
"(20.503881593267124, 1.2560763259084524)","(2663.398752085903, 20.280236523252825)","(26.35746934629617, 1988.549118479286)","(2663.398752085903, 1984.1589276645143)",AD14_d04_apr10,search
"(21.128310237248343, 11.77352535732416)","(2659.9362620619613, 25.244467822680235)","(18.13476746716924, 2000.982696074875)","(2676.4007472973963, 2011.460095770152)",AD14_d05_apr16,search
"(40.04799390553546, -0.20166146702422338)","(2666.9187767539725, 22.17372850613083)","(34.08122324602732, 1985.2412754842926)","(2678.8523180729885, 2006.124972792571)",AD14_d06_apr04,search
"(40.25952260030442, 23.68892839004593)","(2684.6170644997464, 55.04494667343852)","(25.328085322498396, 1997.6249365159983)","(2659.2336211274765, 2005.0906551549012)",AD14_d07_apr21,search
"(38.32641660015929, 22.0634477254589)","(2680.6249002394256, 63.627693535514936)","(19.02873104549053, 1996.3651237031127)","(2658.3583399840386, 2014.1783719074224)",AD14_d08_apr05,search
"(26.77679024885697, 16.052564753682418)","(2676.6650584052813, 19.008379888268337)","(45.989588623666464, 2018.6173184357544)","(2694.399949212798, 1993.4928897917728)",AD15_d02_apr21,search
"(35.038453166944464, 16.296343321483164)","(2692.459914387289, 26.794057897410312)","(29.0397591235577, 2010.8621127475878)","(2687.9608938547485, 2007.8627657258944)",AD15_d03_apr04,search
"(42.878110716098945, 32.535043169121764)","(2687.1696292534284, 19.142458100558997)","(32.46165566277239, 2005.709243270696)","(2713.9547993905535, 2019.1018283392589)",AD15_d04_apr13,search
"(30.055865921787472, 7.185119349924207)","(2679.9441340782123, 26.397917724733816)","(33.01168105637362, 1997.9266124936519)","(2693.24530218385, 1997.9266124936519)",AD15_d05_apr23,search
"(15.403504316911722, 22.195784662265396)","(2676.18562722194, 52.05865921787699)","(25.855510411375917, 2027.4878110716104)","(2677.6787709497207, 2024.501523616049)",AD15_d06_apr10,search
"(42.83320031923381, 5.7011173184359905)","(2693.072625698324, 8.654030327214969)","(26.59217877094966, 1987.1057462090985)","(2693.072625698324, 2006.2996807661616)",AD15_d07_apr16,search
"(34.660378727417424, 10.25585866647316)","(2689.266052383371, 37.14550533265583)","(22.709424653558358, 2012.0406660378728)","(2678.8089675687443, 2028.473227889429)",AD15_d08_apr05,search
"(31.876405717187595, 37.73057389537871)","(2679.1919393455714, 57.452695349343685)","(30.35931945149798, 2029.6648407458467)","(2665.538162954365, 2040.284444605674)",AD15_d09_apr01,search
"(58.632191830515694, 8.829463832257261)","(2705.491366175724, 11.838968294275674)","(40.57516505840522, 2002.6261699194663)","(2706.9961184067333, 2035.730719001669)",AD15_d10_apr32,search
"(31.704599869404092, 10.34988754262531)","(2679.378546034971, 34.46074874845863)","(22.663026917216598, 2001.002865849235)","(2677.8716172096065, 2044.7038017848076)",AD15_d11_apr06,search
"(33.26565334107215, 26.59598781107161)","(2704.1558804324172, 22.129616193861693)","(28.799281723862464, 2011.1537763912065)","(2701.1782993542774, 1990.3107088442284)",AD16_d02_apr19,search
"(35.03145178843488, 11.600993978089264)","(2682.492817238628, 13.07672495102679)","(35.03145178843488, 1987.6047667416385)","(2670.686969455127, 1996.4591525792646)",AD16_d03_apr13,search
"(29.932561851555988, 33.72012624247327)","(2692.3173837335853, 5.695022854241415)","(53.53264891533024, 2007.2774069505917)","(2689.367372850613, 1977.777298120874)",AD16_d04_apr10,search
"(55.991583835158735, 22.140644271929432)","(2686.476964376406, 45.97290140027599)","(41.096423129942195, 2009.15508234782)","(2687.9664804469276, 2016.6026627004283)",AD16_d05_apr32,search
"(44.30980192991319, 19.276536312849203)","(2694.66531234129, 28.265871000508014)","(26.331132554595797, 1978.9514982224482)","(2678.1848654139153, 1993.9337227018793)",AD16_d06_apr04,search
"(19.118624392367337, 16.263839512443155)","(2678.8813756076333, 35.72186751795698)","(5.64768192701149, 2009.9633243851124)","(2686.3652325328308, 2015.9504099252706)",AD16_d07_apr05,search
"(43.89984038308012, 31.308459696728278)","(2699.606145251397, 34.309257781325414)","(21.39385474860285, 1995.3308060654435)","(2669.5981644054273, 2008.8343974461297)",AD16_d08_apr14,search
"(31.21254443880082, 29.88133933106019)","(2672.2834288616405, 19.35315243415789)","(20.684357541898862, 1989.628128854386)","(2687.3236958572147, 2013.6925560473046)",AD16_d09_apr01,search
"(36.36617572371733, 36.999238191975564)","(2668.753174200101, 8.726003047232098)","(30.41391569324503, 2023.5660233621131)","(2701.490604367699, 1999.7569832402237)",AD16_d10_apr26,search
"(43.61746354204422, 14.737466444169968)","(2669.839621272582, 43.12098236958536)","(25.691032431255508, 1995.6081041863165)","(2675.8150983095115, 2021.0038815932671)",AD16_d11_apr23,search
"(28.324022346368338, 23.77120365667861)","(2668.191975622143, 50.73920771965459)","(23.829355002539046, 1998.4283900457087)","(2672.686642965972, 2020.9017267648555)",AD16_d12_apr16,search
"(26.759304940868788, 20.743851120946147)","(2679.248603351955, 26.728034535296956)","(34.23953420880753, 2014.972973953421)","(2685.232786766306, 2022.45320322136)",AD16_d13_apr21,search
"(46.48044692737392, 60.34103605891323)","(2726.8156424581007, 43.6929913661761)","(22.265109192483123, 2018.7564753682075)","(2708.6541391569326, 2047.5121889283903)",AD16_d14_apr22,search
"(58.84375680185701, 13.16349851266068)","(2709.8595008343614, 19.104150039904653)","(32.110824929260275, 1997.3411086120589)","(2692.0375462526304, 2018.1333889574116)",AD17_d01_apr10,search
"(21.180294565769145, 19.16161213088617)","(2671.0293840237982, 34.05677283610248)","(31.60690705942079, 2013.623630559385)","(2674.0084161648415, 2013.623630559385)",AD17_d02_apr21,search
"(35.41057824856671, 19.171189146049528)","(2680.5894217514333, 1.2882899223682216)","(16.03743742291192, 2005.663244576653)","(2670.1577305376195, 2008.6437277805996)",AD17_d03_apr04,search
"(31.401037509975595, 14.804070231445166)","(2658.599760574621, 20.805666400638984)","(5.894253790901303, 1990.829608938548)","(2669.102553870711, 2025.338786911413)",AD17_d04_apr05,search
"(27.306500761807683, 11.70213306246842)","(2667.133824276283, 23.606653123413253)","(25.818435754189636, 1984.876333164043)","(2665.6457592686647, 2008.6853732859322)",AD17_d05_apr16,search
"(32.585939200464054, 26.6091924834941)","(2688.393092940579, 29.58822462453736)","(23.648842777334153, 1998.7284698541685)","(2651.1551911775377, 2000.21798592469)",AD18_d01_apr10,search
"(40.94028876151731, 43.6294348109991)","(2693.240223463687, 49.67456286730021)","(31.87259667706553, 2008.2960531089025)","(2676.6161213088585, 2030.965283320032)",AD18_d02_apr30,search
"(47.162664151490844, 14.900275701951614)","(2684.837335848509, 36.037909018356004)","(30.554523688601762, 2009.3869621998115)","(2687.8569977508528, 2018.445947906842)",AD18_d04_apr32,search
"(57.44645577885797, 29.749437713124735)","(2693.0410288035996, 28.251940796633335)","(21.506529783065957, 1997.4603859827325)","(2706.5185010520217, 2021.4203366465938)",AD18_d05_apr26,search
"(38.70046434012886, 13.337045635928462)","(2694.8116157585437, 43.417579627076975)","(28.172277443226903, 2007.676449249075)","(2675.259268664297, 2030.2368497424363)",AD18_d06_apr01,search
"(37.45889864325579, 34.67956903431741)","(2697.1556264964083, 83.20311252992815)","(28.36073423782875, 2024.1448523543497)","(2677.442936951317, 2027.1775738228255)",AD18_d07_apr13,search
"(51.548610607269325, 32.96992672132319)","(2708.03558731771, 28.446963650874295)","(34.96441268228921, 2003.4741710803164)","(2682.405463251832, 2048.7038017848076)",AD18_d08_apr04,search
"(34.31281288543835, 17.71809475440773)","(2030.4312196183707, 33.4621272582167)","(15.195059130813092, 1499.9062976130017)","(2015.8117608648338, 1528.0206413698036)",AD19_d01_apr10,search
"(38.12246970906176, 25.926757599941993)","(2018.9902053254016, 47.56936080679088)","(22.175288398751945, 1503.3191975622144)","(2008.7384459116308, 1542.0480664586812)",AD19_d02_apr16,search
"(45.80954799390531, 9.712580715374088)","(2030.6024087644203, 18.59308568526444)","(22.498222447942908, 1490.5367844446057)","(2016.171588188348, 1503.8575418994415)",AD19_d03_apr06,search
