drawing,image,condition,participant,RT,score,response
AD25_d02_apr06,a-pr6,search,AD25,3737,-1,1
AD27_d01_apr21,a-pr21,search,AD27,4110,1,5
AD28_d03_apr22,a-pr22,search,AD28,11685,0,3
AD30_d08_apr13,a-pr13,search,AD30,8962,na,6
AD34_d07_apr01,a-pr1,search,AD34,8057,0,3
AD36_d03_apr32,a-pr32,search,AD36,10096,0,3
AD31_d07_apr23,a-pr23,search,AD31,8500,0,3
AD31_d11_apr14,a-pr14,search,AD31,10087,na,6
AD27_d08_apr01,a-pr1,search,AD27,8176,0,3
AD33_d03_apr01,a-pr1,search,AD33,5044,-1,1
AD28_d05_apr19,a-pr19,search,AD28,6136,-1,1
AD27_d02_apr16,a-pr16,search,AD27,34873,0,3
AD33_d02_apr16,a-pr16,search,AD33,5475,-0.5,2
AD24_d07_apr30,a-pr30,search,AD24,10375,na,6
AD30_d01_apr23,a-pr23,search,AD30,6242,-1,1
AD33_d04_apr26,a-pr26,search,AD33,5030,-1,1
AD30_d07_apr16,a-pr16,search,AD30,10212,-0.5,2
AD34_d05_apr13,a-pr13,search,AD34,10231,-1,1
AD27_d05_apr04,a-pr4,search,AD27,21214,0,3
AD30_d05_apr01,a-pr1,search,AD30,4580,na,6
AD32_d02_apr23,a-pr23,search,AD32,1950,0,3
AD31_d01_apr22,a-pr22,search,AD31,6143,1,5
AD24_d05_apr13,a-pr13,search,AD24,6959,0,3
AD36_d05_apr16,a-pr16,search,AD36,4246,-0.5,2
AD26_d08_apr22,a-pr22,search,AD26,2788,-1,1
AD35_d05_apr06,a-pr6,search,AD35,6548,0.5,4
AD30_d06_apr22,a-pr22,search,AD30,4537,-0.5,2
AD35_d06_apr26,a-pr26,search,AD35,3529,-1,1
AD26_d01_apr01,a-pr1,search,AD26,1766,-0.5,2
AD29_d03_apr01,a-pr1,search,AD29,2035,-0.5,2
AD27_d04_apr30,a-pr30,search,AD27,2370,1,5
AD32_d06_apr01,a-pr1,search,AD32,5067,0,3
AD31_d04_apr05,a-pr5,search,AD31,2635,-1,1
AD25_d01_apr05,a-pr5,search,AD25,2236,0,3
AD29_d11_apr10,a-pr10,search,AD29,2702,0,3
AD31_d06_apr01,a-pr1,search,AD31,2735,-0.5,2
AD31_d08_apr06,a-pr6,search,AD31,2969,0,3
AD29_d08_apr16,a-pr16,search,AD29,5312,0,3
AD27_d09_apr06,a-pr6,search,AD27,4082,0.5,4
AD36_d02_apr01,a-pr1,search,AD36,1629,-0.5,2
AD24_d09_apr04,a-pr4,search,AD24,2087,-0.5,2
AD27_d03_apr13,a-pr13,search,AD27,2991,0,3
AD30_d03_apr10,a-pr10,search,AD30,5713,-1,1
AD26_d03_apr04,a-pr4,search,AD26,1424,0,3
AD24_d06_apr01,a-pr1,search,AD24,1444,0,3
AD33_d01_apr05,a-pr5,search,AD33,4102,-0.5,2
AD32_d03_apr21,a-pr21,search,AD32,4160,0,3
AD34_d01_apr22,a-pr22,search,AD34,1578,0,3
AD26_d10_apr10,a-pr10,search,AD26,961,0,3
AD28_d01_apr05,a-pr5,search,AD28,3886,0.5,4
AD29_d09_apr13,a-pr13,search,AD29,2193,-0.5,2
AD26_d04_apr05,a-pr5,search,AD26,2579,-1,1
AD31_d10_apr10,a-pr10,search,AD31,1463,0,3
AD25_d07_apr23,a-pr23,search,AD25,1629,-1,1
AD29_d12_apr23,a-pr23,search,AD29,3886,-1,1
AD24_d03_apr26,a-pr26,search,AD24,3033,-1,1
AD29_d05_apr21,a-pr21,search,AD29,1622,0,3
AD34_d02_apr14,a-pr14,search,AD34,2384,0,3
AD26_d11_apr14,a-pr14,search,AD26,1577,0,3
AD35_d01_apr10,a-pr10,search,AD35,4146,1,5
AD24_d08_apr10,a-pr10,search,AD24,2797,0.5,4
AD36_d01_apr13,a-pr13,search,AD36,1914,-1,1
AD23_d07_apr05,a-pr5,search,AD23,4596,0.5,4
AD34_d04_apr05,a-pr5,search,AD34,2539,-1,1
AD26_d06_apr13,a-pr13,search,AD26,2801,-0.5,2
AD25_d03_apr01,a-pr1,search,AD25,2365,-0.5,2
AD24_d02_apr22,a-pr22,search,AD24,3443,0.5,4
