drawing,image,condition,participant,RT,score,response
AD22_d05_apr22,a-pr22,search,AD22,12432,0,3
AD21_d06_apr16,a-pr16,search,AD21,11994,0,3
AD23_d03_apr16,a-pr16,search,AD23,10051,0,3
AD20_d05_apr06,a-pr6,search,AD20,12664,0,3
AD13_d10_apr23,a-pr23,search,AD13,8782,0,3
AD17_d04_apr05,a-pr5,search,AD17,8174,-0.5,2
AD23_d01_apr22,a-pr22,search,AD23,7777,-1,1
AD19_d04_apr13,a-pr13,search,AD19,16657,-1,1
AD13_d05_apr22,a-pr22,search,AD13,72612,-0.5,2
AD12_d02_apr05,a-pr5,search,AD12,7665,0.5,4
AD22_d04_apr01,a-pr1,search,AD22,30462,0.5,4
AD21_d02_apr26,a-pr26,search,AD21,13186,0,3
AD18_d07_apr13,a-pr13,search,AD18,12703,-0.5,2
AD15_d09_apr01,a-pr1,search,AD15,5373,-0.5,2
AD16_d07_apr05,a-pr5,search,AD16,8615,-1,1
AD12_d01_apr22,a-pr22,search,AD12,8763,-0.5,2
AD15_d04_apr13,a-pr13,search,AD15,23078,0,3
AD18_d06_apr01,a-pr1,search,AD18,6811,-1,1
AD22_d06_apr16,a-pr16,search,AD22,5772,-0.5,2
AD20_d06_apr21,a-pr21,search,AD20,26438,-0.5,2
AD19_d06_apr05,a-pr5,search,AD19,7214,-0.5,2
AD23_d05_apr26,a-pr26,search,AD23,59534,-0.5,2
AD10_d08_apr21,a-pr21,search,AD10,9706,0,3
AD15_d05_apr23,a-pr23,search,AD15,17197,-0.5,2
AD13_d02_apr13,a-pr13,search,AD13,5117,-1,1
AD20_d02_apr13,a-pr13,search,AD20,12579,-1,1
AD14_d03_apr26,a-pr26,search,AD14,8218,0,3
AD15_d06_apr10,a-pr10,search,AD15,7798,0,3
AD20_d01_apr22,a-pr22,search,AD20,18407,-0.5,2
AD22_d01_apr32,a-pr32,search,AD22,6531,0,3
AD18_d05_apr26,a-pr26,search,AD18,5541,-0.5,2
AD23_d04_apr01,a-pr1,search,AD23,8086,-0.5,2
AD16_d02_apr19,a-pr19,search,AD16,8966,-0.5,2
AD14_d06_apr04,a-pr4,search,AD14,8199,0,3
AD16_d03_apr13,a-pr13,search,AD16,4599,-0.5,2
AD13_d08_apr14,a-pr14,search,AD13,7944,0,3
AD12_d04_apr04,a-pr4,search,AD12,8310,-0.5,2
AD15_d08_apr05,a-pr5,search,AD15,10440,-0.5,2
AD23_d02_apr06,a-pr6,search,AD23,6648,0,3
AD16_d06_apr04,a-pr4,search,AD16,6609,0,3
AD12_d03_apr16,a-pr16,search,AD12,4435,-0.5,2
AD17_d03_apr04,a-pr4,search,AD17,6566,-0.5,2
AD21_d01_apr05,a-pr5,search,AD21,11386,0,3
AD13_d07_apr26,a-pr26,search,AD13,9327,-0.5,2
AD21_d09_apr10,a-pr10,search,AD21,38341,1,5
AD21_d03_apr30,a-pr30,search,AD21,10849,1,5
AD14_d08_apr05,a-pr5,search,AD14,13002,0,3
AD14_d05_apr16,a-pr16,search,AD14,9359,-0.5,2
AD11_d05_apr13,a-pr13,search,AD11,9307,-0.5,2
AD12_d05_apr14,a-pr14,search,AD12,9376,0.5,4
AD16_d09_apr01,a-pr1,search,AD16,3330,-1,1
AD18_d08_apr04,a-pr4,search,AD18,5169,-0.5,2
AD19_d07_apr26,a-pr26,search,AD19,8589,-0.5,2
AD19_d05_apr04,a-pr4,search,AD19,7980,0,3
AD15_d10_apr32,a-pr32,search,AD15,13093,0,3
AD20_d04_apr01,a-pr1,search,AD20,12210,-1,1
AD17_d02_apr21,a-pr21,search,AD17,119436,-0.5,2
AD13_d04_apr21,a-pr21,search,AD13,9729,-0.5,2
AD15_d03_apr04,a-pr4,search,AD15,2819,-1,1
AD21_d05_apr23,a-pr23,search,AD21,6314,0,3
AD12_d06_apr01,a-pr1,search,AD12,14738,-0.5,2
AD11_d02_apr16,a-pr16,search,AD11,14110,0,3
AD15_d11_apr06,a-pr6,search,AD15,19511,0,3
AD22_d07_apr05,a-pr5,search,AD22,3580,-0.5,2
AD16_d12_apr16,a-pr16,search,AD16,19244,-0.5,2
AD13_d11_apr01,a-pr1,search,AD13,8348,-0.5,2
AD16_d14_apr22,a-pr22,search,AD16,15092,-1,1
AD17_d01_apr10,a-pr10,search,AD17,5617,-0.5,2
AD13_d01_apr19,a-pr19,search,AD13,6839,-0.5,2
AD19_d03_apr06,a-pr6,search,AD19,11528,-0.5,2
AD16_d05_apr32,a-pr32,search,AD16,11749,-0.5,2
AD15_d02_apr21,a-pr21,search,AD15,32120,0,3
AD16_d08_apr14,a-pr14,search,AD16,18565,-0.5,2
AD13_d09_apr06,a-pr6,search,AD13,12429,-0.5,2
AD20_d09_apr23,a-pr23,search,AD20,6028,-1,1
AD13_d06_apr10,a-pr10,search,AD13,9648,-0.5,2
AD15_d07_apr16,a-pr16,search,AD15,6679,0,3
AD14_d04_apr10,a-pr10,search,AD14,5426,0,3
AD21_d08_apr14,a-pr14,search,AD21,6639,0.5,4
AD16_d13_apr21,a-pr21,search,AD16,1134,0.5,4
AD22_d02_apr13,a-pr13,search,AD22,4267,-0.5,2
AD18_d01_apr10,a-pr10,search,AD18,2507,-0.5,2
AD11_d03_apr05,a-pr5,search,AD11,7828,-0.5,2
AD13_d12_apr16,a-pr16,search,AD13,4251,-1,1
AD21_d07_apr13,a-pr13,search,AD21,4569,0,3
AD13_d03_apr05,a-pr5,search,AD13,8839,0,3
AD16_d04_apr10,a-pr10,search,AD16,3832,-0.5,2
AD17_d05_apr16,a-pr16,search,AD17,10656,0,3
AD18_d02_apr30,a-pr30,search,AD18,5273,0,3
AD12_d09_apr19,a-pr19,search,AD12,3837,-0.5,2
AD12_d08_apr10,a-pr10,search,AD12,9088,0,3
AD14_d07_apr21,a-pr21,search,AD14,3176,0,3
AD21_d04_apr22,a-pr22,search,AD21,5836,0.5,4
AD16_d10_apr26,a-pr26,search,AD16,9853,-0.5,2
AD19_d01_apr10,a-pr10,search,AD19,4490,0,3
AD19_d02_apr16,a-pr16,search,AD19,5322,-0.5,2
AD12_d10_apr32,a-pr32,search,AD12,11594,na,6
AD21_d04_apr22,a-pr22,search,AD21,1606,na,6
AD16_d07_apr05,a-pr5,search,AD16,626,0,3
AD12_d03_apr16,a-pr16,search,AD12,6,1,5
AD14_d05_apr16,a-pr16,search,AD14,91,-0.5,2
AD21_d07_apr13,a-pr13,search,AD21,7,-1,1
AD22_d06_apr16,a-pr16,search,AD22,118,-0.5,2
AD15_d03_apr04,a-pr4,search,AD15,104,-0.5,2
AD21_d08_apr14,a-pr14,search,AD21,1214,-0.5,2
AD18_d08_apr04,a-pr4,search,AD18,6,-0.5,2
AD19_d07_apr26,a-pr26,search,AD19,3530,0.5,4
AD11_d05_apr13,a-pr13,search,AD11,33,-0.5,2
AD21_d05_apr23,a-pr23,search,AD21,83,-0.5,2
AD16_d13_apr21,a-pr21,search,AD16,56,1,5
AD15_d05_apr23,a-pr23,search,AD15,74,-0.5,2
AD19_d03_apr06,a-pr6,search,AD19,5,-0.5,2
AD15_d09_apr01,a-pr1,search,AD15,223,1,5
AD18_d02_apr30,a-pr30,search,AD18,116,-0.5,2
AD15_d07_apr16,a-pr16,search,AD15,1915,1,5
AD16_d10_apr26,a-pr26,search,AD16,154,-1,1
AD20_d06_apr21,a-pr21,search,AD20,174,1,5
AD12_d05_apr14,a-pr14,search,AD12,98,-1,1
AD16_d08_apr14,a-pr14,search,AD16,177,-1,1
AD16_d03_apr13,a-pr13,search,AD16,125,1,5
AD11_d01_apr30,a-pr30,search,AD11,502,-0.5,2
AD13_d01_apr19,a-pr19,search,AD13,238,-0.5,2
AD13_d12_apr16,a-pr16,search,AD13,8,-0.5,2
AD12_d02_apr05,a-pr5,search,AD12,4,-0.5,2
AD13_d08_apr14,a-pr14,search,AD13,183,-0.5,2
AD20_d04_apr01,a-pr1,search,AD20,28,0.5,4
AD16_d11_apr23,a-pr23,search,AD16,139,0.5,4
AD13_d09_apr06,a-pr6,search,AD13,38,-0.5,2
AD13_d11_apr01,a-pr1,search,AD13,126,-0.5,2
AD20_d02_apr13,a-pr13,search,AD20,2,0.5,4
AD20_d09_apr23,a-pr23,search,AD20,286,-0.5,2
AD22_d01_apr32,a-pr32,search,AD22,4,0.5,4
AD18_d06_apr01,a-pr1,search,AD18,4192,-1,1
AD16_d09_apr01,a-pr1,search,AD16,1147,-1,1
AD14_d08_apr05,a-pr5,search,AD14,1264,-1,1
AD10_d08_apr21,a-pr21,search,AD10,1861,-1,1
AD20_d07_apr16,a-pr16,search,AD20,1584,-1,1
AD13_d04_apr21,a-pr21,search,AD13,2063,0,3
AD16_d02_apr19,a-pr19,search,AD16,1021,-1,1
AD15_d04_apr13,a-pr13,search,AD15,3049,-1,1
AD14_d07_apr21,a-pr21,search,AD14,172,0.5,4
AD15_d02_apr21,a-pr21,search,AD15,238,0,3
AD18_d07_apr13,a-pr13,search,AD18,16,1,5
AD17_d01_apr10,a-pr10,search,AD17,67,0,3
AD13_d05_apr22,a-pr22,search,AD13,111,0,3
AD13_d02_apr13,a-pr13,search,AD13,412,1,5
AD14_d02_apr13,a-pr13,search,AD14,2492,-1,1
AD16_d06_apr04,a-pr4,search,AD16,1652,-1,1
AD21_d01_apr05,a-pr5,search,AD21,756,1,5
AD21_d03_apr30,a-pr30,search,AD21,4,1,5
AD19_d06_apr05,a-pr5,search,AD19,2440,na,6
AD14_d03_apr26,a-pr26,search,AD14,197,na,6
AD17_d03_apr04,a-pr4,search,AD17,48,na,6
AD16_d05_apr32,a-pr32,search,AD16,71,na,6
AD11_d02_apr16,a-pr16,search,AD11,63,na,6
AD21_d06_apr16,a-pr16,search,AD21,85,na,6
AD19_d05_apr04,a-pr4,search,AD19,86,na,6
AD20_d05_apr06,a-pr6,search,AD20,122,na,6
AD18_d04_apr32,a-pr32,search,AD18,140,na,6
AD13_d06_apr10,a-pr10,search,AD13,150,na,6
AD23_d03_apr16,a-pr16,search,AD23,123,na,6
AD15_d10_apr32,a-pr32,search,AD15,129,na,6
AD14_d04_apr10,a-pr10,search,AD14,140,na,6
AD13_d07_apr26,a-pr26,search,AD13,185,na,6
AD15_d11_apr06,a-pr6,search,AD15,193,na,6
AD20_d01_apr22,a-pr22,search,AD20,4,na,6
AD16_d12_apr16,a-pr16,search,AD16,156,na,6
AD11_d03_apr05,a-pr5,search,AD11,200,na,6
AD12_d09_apr19,a-pr19,search,AD12,6,na,6
AD22_d07_apr05,a-pr5,search,AD22,139,-1,1
AD22_d05_apr22,a-pr22,search,AD22,89,-1,1
AD21_d02_apr26,a-pr26,search,AD21,492,-1,1
AD12_d06_apr01,a-pr1,search,AD12,565,-1,1
AD13_d03_apr05,a-pr5,search,AD13,113,-1,1
AD12_d01_apr22,a-pr22,search,AD12,111,-1,1
AD21_d09_apr10,a-pr10,search,AD21,121,-1,1
AD19_d01_apr10,a-pr10,search,AD19,111,na,6
AD19_d04_apr13,a-pr13,search,AD19,4,-1,1
AD17_d02_apr21,a-pr21,search,AD17,131,-1,1
AD22_d02_apr13,a-pr13,search,AD22,881,1,5
AD23_d02_apr06,a-pr6,search,AD23,30,-0.5,2
AD15_d06_apr10,a-pr10,search,AD15,39,-0.5,2
AD12_d10_apr32,a-pr32,search,AD12,30,-0.5,2
AD16_d04_apr10,a-pr10,search,AD16,69,-0.5,2
AD14_d06_apr04,a-pr4,search,AD14,37,-0.5,2
AD12_d04_apr04,a-pr4,search,AD12,14,-0.5,2
AD18_d05_apr26,a-pr26,search,AD18,1460,-1,1
AD17_d05_apr16,a-pr16,search,AD17,171,-1,1
AD13_d10_apr23,a-pr23,search,AD13,55,-1,1
AD18_d01_apr10,a-pr10,search,AD18,483,-1,1
AD23_d01_apr22,a-pr22,search,AD23,811,-1,1
AD22_d04_apr01,a-pr1,search,AD22,196,-1,1
AD16_d14_apr22,a-pr22,search,AD16,150,-1,1
AD17_d04_apr05,a-pr5,search,AD17,158,-1,1
AD12_d08_apr10,a-pr10,search,AD12,152,na,6
AD15_d08_apr05,a-pr5,search,AD15,120,na,6
AD19_d02_apr16,a-pr16,search,AD19,97,na,6
AD23_d05_apr26,a-pr26,search,AD23,78,na,6
AD23_d04_apr01,a-pr1,search,AD23,104,na,6
AD21_d02_apr26,a-pr26,search,AD21,24350,0.5,4
AD14_d06_apr04,a-pr4,search,AD14,9187,0,3
AD12_d09_apr19,a-pr19,search,AD12,3788,-0.5,2
AD21_d04_apr22,a-pr22,search,AD21,6426,0,3
AD13_d03_apr05,a-pr5,search,AD13,11093,0,3
AD12_d01_apr22,a-pr22,search,AD12,3289,-0.5,2
AD23_d03_apr16,a-pr16,search,AD23,11499,-0.5,2
AD16_d11_apr23,a-pr23,search,AD16,3313,-1,1
AD11_d03_apr05,a-pr5,search,AD11,4578,-0.5,2
AD18_d01_apr10,a-pr10,search,AD18,2430,-0.5,2
AD16_d14_apr22,a-pr22,search,AD16,3576,-0.5,2
AD19_d06_apr05,a-pr5,search,AD19,2357,-1,1
AD18_d08_apr04,a-pr4,search,AD18,5449,-1,1
AD20_d07_apr16,a-pr16,search,AD20,4511,-0.5,2
AD15_d10_apr32,a-pr32,search,AD15,1039,0,3
AD19_d05_apr04,a-pr4,search,AD19,2047,-1,1
AD12_d05_apr14,a-pr14,search,AD12,2485,-0.5,2
AD14_d02_apr13,a-pr13,search,AD14,2559,-0.5,2
AD21_d06_apr16,a-pr16,search,AD21,3563,1,5
AD17_d05_apr16,a-pr16,search,AD17,3362,-0.5,2
AD23_d05_apr26,a-pr26,search,AD23,1159,0,3
AD13_d02_apr13,a-pr13,search,AD13,2731,-0.5,2
AD12_d04_apr04,a-pr4,search,AD12,1566,-0.5,2
AD16_d12_apr16,a-pr16,search,AD16,3683,0,3
AD16_d05_apr32,a-pr32,search,AD16,2216,0,3
AD13_d09_apr06,a-pr6,search,AD13,3009,0,3
AD15_d07_apr16,a-pr16,search,AD15,6142,0,3
AD13_d12_apr16,a-pr16,search,AD13,1837,-0.5,2
AD20_d02_apr13,a-pr13,search,AD20,4079,-0.5,2
AD22_d06_apr16,a-pr16,search,AD22,4327,0,3
AD19_d04_apr13,a-pr13,search,AD19,5063,-0.5,2
AD13_d11_apr01,a-pr1,search,AD13,2801,0,3
AD18_d05_apr26,a-pr26,search,AD18,2404,0,3
AD16_d07_apr05,a-pr5,search,AD16,5910,0,3
AD16_d08_apr14,a-pr14,search,AD16,2510,0,3
AD13_d05_apr22,a-pr22,search,AD13,2022,0,3
AD11_d01_apr30,a-pr30,search,AD11,2198,0.5,4
AD20_d05_apr06,a-pr6,search,AD20,2261,0,3
AD15_d08_apr05,a-pr5,search,AD15,860,0,3
AD22_d07_apr05,a-pr5,search,AD22,1491,-0.5,2
AD18_d06_apr01,a-pr1,search,AD18,1132,-0.5,2
AD23_d02_apr06,a-pr6,search,AD23,1140,0,3
AD23_d04_apr01,a-pr1,search,AD23,2263,-0.5,2
AD18_d04_apr32,a-pr32,search,AD18,2419,-1,1
AD22_d01_apr32,a-pr32,search,AD22,1561,-0.5,2
AD14_d05_apr16,a-pr16,search,AD14,2252,0.5,4
AD21_d01_apr05,a-pr5,search,AD21,2412,0.5,4
AD15_d09_apr01,a-pr1,search,AD15,964,0,3
AD12_d08_apr10,a-pr10,search,AD12,2040,-1,1
AD20_d06_apr21,a-pr21,search,AD20,1540,0,3
AD16_d13_apr21,a-pr21,search,AD16,1808,-0.5,2
AD14_d04_apr10,a-pr10,search,AD14,1956,0.5,4
AD17_d01_apr10,a-pr10,search,AD17,977,0,3
AD13_d10_apr23,a-pr23,search,AD13,2590,-0.5,2
AD15_d02_apr21,a-pr21,search,AD15,1428,0,3
AD21_d03_apr30,a-pr30,search,AD21,1871,1,5
AD12_d06_apr01,a-pr1,search,AD12,2686,0,3
AD16_d06_apr04,a-pr4,search,AD16,2173,-0.5,2
AD23_d01_apr22,a-pr22,search,AD23,2551,-0.5,2
AD11_d05_apr13,a-pr13,search,AD11,1863,0,3
AD13_d04_apr21,a-pr21,search,AD13,3021,0.5,4
AD21_d07_apr13,a-pr13,search,AD21,2318,0.5,4
AD20_d04_apr01,a-pr1,search,AD20,2874,0.5,4
AD11_d02_apr16,a-pr16,search,AD11,1491,0.5,4
AD13_d07_apr26,a-pr26,search,AD13,1043,0.5,4
AD22_d04_apr01,a-pr1,search,AD22,1977,0.5,4
AD15_d03_apr04,a-pr4,search,AD15,1138,0,3
AD20_d01_apr22,a-pr22,search,AD20,1492,0,3
AD22_d02_apr13,a-pr13,search,AD22,1464,0,3
AD13_d01_apr19,a-pr19,search,AD13,2642,0,3
AD19_d03_apr06,a-pr6,search,AD19,1570,-0.5,2
AD10_d08_apr21,a-pr21,search,AD10,1940,-0.5,2
AD13_d08_apr14,a-pr14,search,AD13,1609,-0.5,2
AD16_d09_apr01,a-pr1,search,AD16,1613,-1,1
AD21_d09_apr10,a-pr10,search,AD21,4366,0.5,4
AD12_d02_apr05,a-pr5,search,AD12,5376,-0.5,2
AD19_d07_apr26,a-pr26,search,AD19,1500,0,3
AD20_d09_apr23,a-pr23,search,AD20,1651,0.5,4
AD17_d03_apr04,a-pr4,search,AD17,1242,0,3
AD15_d04_apr13,a-pr13,search,AD15,3544,0,3
AD16_d04_apr10,a-pr10,search,AD16,1483,-0.5,2
AD14_d08_apr05,a-pr5,search,AD14,1132,-0.5,2
AD21_d08_apr14,a-pr14,search,AD21,981,0.5,4
AD18_d07_apr13,a-pr13,search,AD18,753,0,3
AD13_d06_apr10,a-pr10,search,AD13,1114,-1,1
AD15_d11_apr06,a-pr6,search,AD15,1545,0,3
AD17_d02_apr21,a-pr21,search,AD17,1470,0,3
AD14_d07_apr21,a-pr21,search,AD14,948,0,3
AD17_d04_apr05,a-pr5,search,AD17,1271,0,3
AD16_d03_apr13,a-pr13,search,AD16,2482,0,3
AD16_d02_apr19,a-pr19,search,AD16,1088,0,3
AD16_d10_apr26,a-pr26,search,AD16,1381,-0.5,2
AD14_d03_apr26,a-pr26,search,AD14,1166,-0.5,2
AD18_d02_apr30,a-pr30,search,AD18,1799,-0.5,2
AD22_d05_apr22,a-pr22,search,AD22,1936,0,3
AD12_d03_apr16,a-pr16,search,AD12,1514,0,3
AD12_d10_apr32,a-pr32,search,AD12,5409,0.5,4
AD19_d01_apr10,a-pr10,search,AD19,2015,-0.5,2
AD15_d06_apr10,a-pr10,search,AD15,1500,-0.5,2
AD19_d02_apr16,a-pr16,search,AD19,3243,-0.5,2
AD21_d05_apr23,a-pr23,search,AD21,2144,0,3
AD15_d05_apr23,a-pr23,search,AD15,3456,0.5,4
AD22_d02_apr13,a-pr13,search,AD22,8984,-1,1
AD15_d09_apr01,a-pr1,search,AD15,11386,-0.5,2
AD19_d04_apr13,a-pr13,search,AD19,2762,-1,1
AD16_d04_apr10,a-pr10,search,AD16,3852,0,3
AD11_d01_apr30,a-pr30,search,AD11,7363,0.5,4
AD22_d06_apr16,a-pr16,search,AD22,7967,-0.5,2
AD14_d03_apr26,a-pr26,search,AD14,5169,na,6
AD20_d02_apr13,a-pr13,search,AD20,7202,0,3
AD16_d06_apr04,a-pr4,search,AD16,5261,0,3
AD18_d07_apr13,a-pr13,search,AD18,4226,-1,1
AD15_d03_apr04,a-pr4,search,AD15,2811,0,3
AD23_d01_apr22,a-pr22,search,AD23,2677,0,3
AD22_d05_apr22,a-pr22,search,AD22,3337,na,6
AD13_d08_apr14,a-pr14,search,AD13,3923,0,3
AD13_d07_apr26,a-pr26,search,AD13,5430,0,3
AD23_d05_apr26,a-pr26,search,AD23,3604,0,3
AD12_d08_apr10,a-pr10,search,AD12,2118,na,6
AD17_d02_apr21,a-pr21,search,AD17,2464,0,3
AD18_d06_apr01,a-pr1,search,AD18,2007,0,3
AD12_d01_apr22,a-pr22,search,AD12,2338,-0.5,2
AD21_d02_apr26,a-pr26,search,AD21,1922,1,5
AD18_d05_apr26,a-pr26,search,AD18,2225,-0.5,2
AD15_d02_apr21,a-pr21,search,AD15,1494,0,3
AD12_d02_apr05,a-pr5,search,AD12,1743,0,3
AD19_d03_apr06,a-pr6,search,AD19,1888,-0.5,2
AD13_d12_apr16,a-pr16,search,AD13,1747,0.5,4
AD15_d07_apr16,a-pr16,search,AD15,1797,0,3
AD20_d06_apr21,a-pr21,search,AD20,2242,0.5,4
AD12_d10_apr32,a-pr32,search,AD12,2136,na,6
AD15_d06_apr10,a-pr10,search,AD15,4135,-0.5,2
AD14_d06_apr04,a-pr4,search,AD14,3104,0,3
AD16_d12_apr16,a-pr16,search,AD16,3013,na,6
AD18_d02_apr30,a-pr30,search,AD18,2712,0,3
AD21_d08_apr14,a-pr14,search,AD21,2065,0,3
AD16_d11_apr23,a-pr23,search,AD16,1230,0,3
AD19_d05_apr04,a-pr4,search,AD19,1223,0,3
AD22_d01_apr32,a-pr32,search,AD22,1101,0,3
AD19_d07_apr26,a-pr26,search,AD19,1979,0.5,4
AD16_d08_apr14,a-pr14,search,AD16,1258,0,3
AD13_d10_apr23,a-pr23,search,AD13,1941,0,3
AD21_d05_apr23,a-pr23,search,AD21,1684,na,6
AD12_d04_apr04,a-pr4,search,AD12,1434,0.5,4
AD21_d04_apr22,a-pr22,search,AD21,1093,0.5,4
AD13_d03_apr05,a-pr5,search,AD13,3037,-0.5,2
AD10_d08_apr21,a-pr21,search,AD10,9333,0.5,4
AD15_d08_apr05,a-pr5,search,AD15,3906,0,3
AD23_d03_apr16,a-pr16,search,AD23,2664,0,3
AD19_d02_apr16,a-pr16,search,AD19,1722,0,3
AD15_d05_apr23,a-pr23,search,AD15,9863,0,3
AD16_d02_apr19,a-pr19,search,AD16,2568,0,3
AD23_d04_apr01,a-pr1,search,AD23,2706,0,3
AD18_d01_apr10,a-pr10,search,AD18,8612,0,3
AD12_d03_apr16,a-pr16,search,AD12,24585,0,3
AD16_d05_apr32,a-pr32,search,AD16,5411,0,3
AD17_d04_apr05,a-pr5,search,AD17,1361,0,3
AD14_d02_apr13,a-pr13,search,AD14,1341,0,3
AD13_d04_apr21,a-pr21,search,AD13,2649,0,3
AD15_d10_apr32,a-pr32,search,AD15,26779,0,3
AD13_d01_apr19,a-pr19,search,AD13,1628,0,3
AD14_d05_apr16,a-pr16,search,AD14,2602,0,3
AD16_d14_apr22,a-pr22,search,AD16,4088,0,3
AD21_d07_apr13,a-pr13,search,AD21,1462,0,3
AD21_d06_apr16,a-pr16,search,AD21,1976,0.5,4
AD18_d04_apr32,a-pr32,search,AD18,4601,-0.5,2
AD20_d05_apr06,a-pr6,search,AD20,2017,0,3
AD13_d05_apr22,a-pr22,search,AD13,39895,0,3
AD20_d09_apr23,a-pr23,search,AD20,1385,0,3
AD17_d03_apr04,a-pr4,search,AD17,1609,0,3
AD13_d09_apr06,a-pr6,search,AD13,3891,0,3
AD16_d13_apr21,a-pr21,search,AD16,1757,0.5,4
AD16_d10_apr26,a-pr26,search,AD16,126676,0.5,4
AD17_d05_apr16,a-pr16,search,AD17,18772,0,3
AD16_d03_apr13,a-pr13,search,AD16,5669,-0.5,2
AD23_d02_apr06,a-pr6,search,AD23,2773,0,3
AD11_d05_apr13,a-pr13,search,AD11,3155,0.5,4
AD21_d01_apr05,a-pr5,search,AD21,1244,0.5,4
AD20_d04_apr01,a-pr1,search,AD20,1842,-0.5,2
AD14_d04_apr10,a-pr10,search,AD14,1325,0,3
AD22_d07_apr05,a-pr5,search,AD22,1455,-0.5,2
AD14_d08_apr05,a-pr5,search,AD14,1963,0,3
AD11_d03_apr05,a-pr5,search,AD11,2361,0.5,4
AD16_d09_apr01,a-pr1,search,AD16,11449,-0.5,2
AD12_d06_apr01,a-pr1,search,AD12,5582,-0.5,2
AD13_d02_apr13,a-pr13,search,AD13,2983,-0.5,2
AD11_d02_apr16,a-pr16,search,AD11,2387,0.5,4
AD14_d07_apr21,a-pr21,search,AD14,1629,0,3
AD20_d01_apr22,a-pr22,search,AD20,6637,0,3
AD21_d03_apr30,a-pr30,search,AD21,3860,0,3
AD19_d01_apr10,a-pr10,search,AD19,1641,0,3
AD13_d11_apr01,a-pr1,search,AD13,2366,0,3
AD17_d01_apr10,a-pr10,search,AD17,16882,0,3
AD19_d06_apr05,a-pr5,search,AD19,1530,-0.5,2
AD21_d09_apr10,a-pr10,search,AD21,1401,0,3
AD15_d04_apr13,a-pr13,search,AD15,16856,0,3
AD20_d07_apr16,a-pr16,search,AD20,10491,0,3
AD12_d09_apr19,a-pr19,search,AD12,22868,-0.5,2
AD12_d05_apr14,a-pr14,search,AD12,2413,0,3
AD22_d04_apr01,a-pr1,search,AD22,10233,-0.5,2
AD13_d06_apr10,a-pr10,search,AD13,4765,0,3
AD18_d08_apr04,a-pr4,search,AD18,5525,-0.5,2
AD15_d11_apr06,a-pr6,search,AD15,4699,-0.5,2
AD16_d07_apr05,a-pr5,search,AD16,1410,-0.5,2
AD01_d01_apr19,a-pr19,search,AD01,5204,0,3
AD01_d11_apr10,a-pr10,search,AD01,5621,-0.5,2
AD06_d015_apr26,a-pr26,search,AD06,8510,-0.5,2
AD09_d04_apr19,a-pr19,search,AD09,5881,0,3
AD06_d13_apr16,a-pr16,search,AD06,4339,0,3
AD06_d14_apr23,a-pr23,search,AD06,590,-0.5,2
AD02_d07_apr23,a-pr23,search,AD02,449,0.5,4
controlADC35_D01_apr22,a-pr22,memorize,controlADC35,371,0,3
controlADC32_D10_apr01,a-pr1,memorize,controlADC32,346,1,5
controlADC34_D06_apr21,a-pr21,memorize,controlADC34,352,0.5,4
controlADC35_D02_apr05,a-pr5,memorize,controlADC35,365,na,6
controlADC35_D03_apr21,a-pr21,memorize,controlADC35,365,1,5
controlADC33_D03_apr26,a-pr26,memorize,controlADC33,405,0,3
AD04_d07_apr23,a-pr23,search,AD04,318,-0.5,2
AD03_d03_apr22,a-pr22,search,AD03,329,0.5,4
AD04_d05_apr05,a-pr5,search,AD04,330,-1,1
AD06_d03_apr14,a-pr14,search,AD06,327,1,5
AD07_d04_apr23,a-pr23,search,AD07,320,-0.5,2
controlADC36_D04_apr10,a-pr10,memorize,controlADC36,351,na,6
AD10_d04_apr22,a-pr22,search,AD10,531,1,5
AD06_d02_apr19,a-pr19,search,AD06,320,0.5,4
AD10_d06_apr06,a-pr6,search,AD10,408,na,6
AD03_d01_apr05,a-pr5,search,AD03,1953,na,6
controlADC34_D05_apr16,a-pr16,memorize,controlADC34,797,0.5,4
controlADC32_D11_apr32,a-pr32,memorize,controlADC32,344,-0.5,2
AD06_d01_apr21,a-pr21,search,AD06,382,1,5
controlADC34_D03_apr30,a-pr30,memorize,controlADC34,397,0.5,4
AD02_d11_apr26,a-pr26,search,AD02,407,0,3
AD07_d07_apr32,a-pr32,search,AD07,405,-0.5,2
controlADC36_D05_apr14,a-pr14,memorize,controlADC36,398,1,5
controlADC32_D09_apr06,a-pr6,memorize,controlADC32,534,0.5,4
AD08_d08_apr13,a-pr13,search,AD08,1003,-1,1
AD10_d05_apr13,a-pr13,search,AD10,729,0.5,4
AD02_d02_apr13,a-pr13,search,AD02,404,1,5
AD03_d04_apr13,a-pr13,search,AD03,425,na,6
AD04_d02_apr01,a-pr1,search,AD04,582,0,3
AD06_d11_apr06,a-pr6,search,AD06,372,-0.5,2
AD08_d04_apr01,a-pr1,search,AD08,399,0.5,4
AD06_d06_apr10,a-pr10,search,AD06,961,0,3
controlADC35_D05_apr32,a-pr32,memorize,controlADC35,551,-0.5,2
controlADC36_D07_apr04,a-pr4,memorize,controlADC36,994,0.5,4
controlADC36_D03_apr16,a-pr19,memorize,controlADC36,512,1,5
AD04_d01_apr21,a-pr21,search,AD04,535,0,3
AD06_d04_apr30,a-pr30,search,AD06,387,-1,1
AD07_d02_apr16,a-pr16,search,AD07,381,0.5,4
