trial,start,end,x,y,mad.x,mad.y,peak.vx,peak.vy,dur,event,participant,image
5,405.3922045,406.1097841,848,621,8.8956,2.9652,3.5,-3,717.5796,fixation,AD01,a-pr30.png
6,415.6977194,415.963622,1264,703,1.4826,1.4826,-1.5,2.5,265.9026,fixation,AD01,a-pr26.png
6,415.9996225,416.2914723,1046,708,2.9652,2.9652,-3,-2.5,291.8498,fixation,AD01,a-pr26.png
6,416.3135446,416.6392728,1092,698,2.9652,2.9652,-2.5,2.5,325.7282,fixation,AD01,a-pr26.png
7,426.2305421,426.4690493,1278,656,2.9652,1.4826,-3,-2.5,238.5072,fixation,AD01,a-pr13.png
7,426.5010754,426.6609204,1143,662,2.9652,1.4826,-2.5,-2,159.845,fixation,AD01,a-pr13.png
7,426.7189042,427.0606888,872,662,2.9652,1.4826,2,-2,341.7846,fixation,AD01,a-pr13.png
7,427.0826682,427.2345858,836,661,2.9652,1.4826,3,-1.5,151.9176,fixation,AD01,a-pr13.png
7,427.2605129,427.6243966,759.5,642,3.7065,2.9652,2,-2,363.8837,fixation,AD01,a-pr13.png
7,427.6691365,428.043027,1055,653,7.413,1.4826,3,2,373.89049999978903,fixation,AD01,a-pr13.png
7,428.0989953,428.5468598,767,642,2.9652,2.9652,3,2,447.8645,fixation,AD01,a-pr13.png
7,428.5869147,428.8247245,865,673,1.4826,2.9652,2.5,3,237.8098,fixation,AD01,a-pr13.png
7,428.8526921,428.9966206,994,681,2.9652,1.4826,-2.5,-1.5,143.9285,fixation,AD01,a-pr13.png
7,429.0345683,429.2728843,1248,671,5.9304,2.9652,2.5,1.5,238.316,fixation,AD01,a-pr13.png
7,429.3046418,429.6163408,1123,674,1.4826,1.4826,-4,-1.5,311.699,fixation,AD01,a-pr13.png
7,429.650225,429.8266004,1316.5,647,3.7065,1.4826,3,-2,176.37540000032502,fixation,AD01,a-pr13.png
7,429.8525504,430.2063341,1417,648,1.4826,1.4826,2.5,-2,353.7837,fixation,AD01,a-pr13.png
7,430.2762696,430.5261479,888,650,4.4478,1.4826,2.5,-2,249.8783,fixation,AD01,a-pr13.png
7,430.5421704,430.7410715,847,657,2.9652,2.9652,-3,1.5,198.9011,fixation,AD01,a-pr13.png
7,430.7711181,430.8349336,757.5,640,2.9652,4.4478,1.5,-1.5,63.8155,fixation,AD01,a-pr13.png
7,432.4520247,432.4600091,798.5,675,0.7413,1.4826,-0.5,-1,7.984400000395899,fixation,AD01,a-pr13.png
8,440.4361522,440.4821402,1258,672,4.4478,2.9652,2.5,2,45.988,fixation,AD01,a-pr4.png
8,440.4981144,440.6682209,1219,654,2.9652,2.9652,3,2,170.1065,fixation,AD01,a-pr4.png
8,440.7021387,440.9179698,1036,676,4.4478,2.9652,3,2,215.8311,fixation,AD01,a-pr4.png
8,440.9679876,440.9859469,1479,659,2.9652,1.4826,-3,-1.5,17.9593,fixation,AD01,a-pr4.png
8,440.9939175,441.0259399,1470,663.5,6.6717,3.7065,3,-2.5,32.0224,fixation,AD01,a-pr4.png
8,441.0300425,441.2537757,1467.5,663,6.6717,1.4826,-3,2,223.7332,fixation,AD01,a-pr4.png
8,441.2879345,441.3097846,1559,659,1.4826,2.9652,-2.5,-1,21.8501,fixation,AD01,a-pr4.png
8,441.313863,441.3377663,1552.5,663,8.8956,2.2239,-2.5,2,23.9033,fixation,AD01,a-pr4.png
8,441.4976762,441.5078224,1560,657,1.4826,1.4826,2.5,-2,10.1462,fixation,AD01,a-pr4.png
8,441.5116574,441.6656838,1549,660,1.4826,4.4478,-3.5,-2.5,154.0264,fixation,AD01,a-pr4.png
8,441.6716209,443.4555576,1550.5,660,5.1891,4.4478,-3,-3.5,1783.9367,fixation,AD01,a-pr4.png
9,451.4369489,451.6238134,1304,650,2.9652,4.4478,5,-2.5,186.8645,fixation,AD01,a-pr6.png
9,451.6678101,451.8677726,1080.5,674,6.6717,4.4478,-3.5,2,199.9625,fixation,AD01,a-pr6.png
9,451.9396718,452.1955308,1597,659,5.9304,2.9652,2.5,-2,255.85900000009997,fixation,AD01,a-pr6.png
9,452.2294627,452.3713484,1647,652,7.413,2.9652,-3,-1.5,141.8857,fixation,AD01,a-pr6.png
9,452.3753813,452.501355,1649,658,4.4478,1.4826,-3,-1,125.9737,fixation,AD01,a-pr6.png
9,454.1053756,454.1133774,1620.5,644.5,0.7413,0.7413,1,0.5,8.0018,fixation,AD01,a-pr6.png
10,462.0827578,462.1087168,1279,668,1.4826,2.9652,-2,-3.5,25.959,fixation,AD01,a-pr32.png
10,462.1487199,462.3866701,1163,687,1.4826,1.4826,2,-1.5,237.9502,fixation,AD01,a-pr32.png
10,462.4267216,462.4765778,1375,649,4.4478,1.4826,-2.5,4.5,49.8562,fixation,AD01,a-pr32.png
10,462.4866135,462.5026625,1365.5,638,0.7413,2.2239,-2,-3.5,16.049,fixation,AD01,a-pr32.png
10,462.5046112,462.5745223,1368,638,5.9304,1.4826,2,3.5,69.9111,fixation,AD01,a-pr32.png
10,462.6086512,462.994853,1602,613,2.9652,2.9652,3.5,-2,386.2018,fixation,AD01,a-pr32.png
10,463.0809741,463.3807575,835,609,2.9652,1.4826,2.5,-1.5,299.7834,fixation,AD01,a-pr32.png
10,463.4366991,463.6582241,1395,586,4.4478,5.9304,-2.5,-3,221.525,fixation,AD01,a-pr32.png
10,463.6941999,464.0190557,1631,605,1.4826,2.9652,4.5,-1,324.8558,fixation,AD01,a-pr32.png
10,464.0389868,464.1930598,1669,593,2.9652,2.9652,2.5,-1.5,154.073,fixation,AD01,a-pr32.png
10,464.2109563,464.686933,1535,569,2.9652,2.9652,-2.5,2,475.9767,fixation,AD01,a-pr32.png
11,474.2759572,474.4483493,1285,641,2.9652,1.4826,2,1.5,172.39210000025201,fixation,AD01,a-pr14.png
11,474.4958176,474.6503766,1554,650,5.9304,1.4826,2.5,-1.5,154.559,fixation,AD01,a-pr14.png
11,474.6777605,474.8076384,1702,637,4.4478,5.9304,-3.5,1.5,129.8779,fixation,AD01,a-pr14.png
11,474.811541,475.1763906,1693,642,10.3782,1.4826,3.5,1.5,364.8496,fixation,AD01,a-pr14.png
11,476.7855219,476.7940464,1534.5,664,0.7413,0,-0.5,0,8.524500000248699,fixation,AD01,a-pr14.png
12,484.8313147,485.0911909,1275,618,1.4826,2.9652,2,3,259.8762,fixation,AD01,a-pr1.png
12,485.1471564,485.2930751,1691,547,1.4826,2.9652,-2.5,-2,145.9187,fixation,AD01,a-pr1.png
12,485.3070417,485.5209355,1632,564,2.9652,2.9652,2.5,-2.5,213.89380000050602,fixation,AD01,a-pr1.png
12,485.5828043,485.590898,1015.5,588,1.4826,0.7413,-3,-0.5,8.0937,fixation,AD01,a-pr1.png
12,485.5948716,485.8557077,995,595,2.9652,1.4826,2.5,2.5,260.8361,fixation,AD01,a-pr1.png
12,485.8836889,486.2312109,1000,636,2.9652,1.4826,2,-1.5,347.522,fixation,AD01,a-pr1.png
12,486.289199,486.3251516,1314,666,1.4826,1.4826,-3,1.5,35.9526,fixation,AD01,a-pr1.png
12,486.3551372,486.5509275,1533,685,5.1891,1.4826,2.5,2,195.7903,fixation,AD01,a-pr1.png
12,486.575349,486.7493735,1450,682,1.4826,2.9652,2,2,174.02449999917698,fixation,AD01,a-pr1.png
12,486.7713582,487.2233997,1400,675,1.4826,2.9652,3,1.5,452.0415,fixation,AD01,a-pr1.png
13,496.8104477,496.9684228,1279,672,1.4826,1.4826,3,-2,157.9751,fixation,AD01,a-pr10.png
13,496.9983669,497.0365429,1406,636,2.9652,1.4826,2.5,-1.5,38.176,fixation,AD01,a-pr10.png
13,497.086363,497.2142882,1158,622,1.4826,1.4826,2,2,127.92519999948098,fixation,AD01,a-pr10.png
13,497.2347035,497.3424606,1029,626,2.2239,1.4826,-4,-3,107.7571,fixation,AD01,a-pr10.png
14,507.3537821,507.4058099,1289,709,1.4826,2.9652,-5,2,52.0278,fixation,AD01,a-pr22.png
14,507.4157514,507.4258104,1288,709,1.4826,1.4826,4,-2,10.059,fixation,AD01,a-pr22.png
14,507.4377788,507.5637483,1291,707,2.9652,2.9652,3.5,-4,125.96949999965501,fixation,AD01,a-pr22.png
14,507.5676729,507.6256343,1294,706,4.4478,2.9652,-2.5,2,57.961399999840104,fixation,AD01,a-pr22.png
14,507.6516702,507.8435441,1338.5,594,3.7065,2.9652,3.5,-2.5,191.8739,fixation,AD01,a-pr22.png
14,507.8895124,508.1462747,1609,609,2.9652,1.4826,-3,-1.5,256.7623,fixation,AD01,a-pr22.png
14,508.1623581,508.438139,1603,619,2.9652,1.4826,-2.5,2,275.7809,fixation,AD01,a-pr22.png
14,510.0332175,510.0421432,1284,679,0,0.7413,1,-0.5,8.9257,fixation,AD01,a-pr22.png
15,518.0128738,518.2557167,1278,634,2.9652,1.4826,-2.5,-2.5,242.8429,fixation,AD01,a-pr23.png
15,518.2676744,518.2796908,1301.5,669.5,2.2239,2.2239,2.5,2.5,12.0164,fixation,AD01,a-pr23.png
15,518.2816678,518.5194883,1289,668,4.4478,5.9304,2,-3,237.8205,fixation,AD01,a-pr23.png
15,518.5714652,518.7893431,928,620,4.4478,1.4826,3,-2.5,217.8779,fixation,AD01,a-pr23.png
15,518.841511,519.1551296,1129,670,2.9652,1.4826,-3,-2,313.6186,fixation,AD01,a-pr23.png
15,519.1872051,519.635522,1188,665,2.9652,2.9652,-3,-2.5,448.3169,fixation,AD01,a-pr23.png
1,310.5506122,310.6226171,1269,724,1.4826,3.7065,-2.5,-3,72.0049,fixation,AD02,a-pr6.png
1,310.6246436,310.6566158,1274.5,717,0.7413,4.4478,2.5,4.5,31.972200001291597,fixation,AD02,a-pr6.png
1,310.6645446,310.7525012,1270.5,722,2.9652,4.4478,-2.5,-6,87.9566,fixation,AD02,a-pr6.png
1,310.7604761,310.7885477,1270.5,724.5,2.2239,2.2239,-3,-4,28.0716,fixation,AD02,a-pr6.png
1,310.8244378,311.0443708,1738,662,4.4478,2.2239,5.5,-3,219.93300000122002,fixation,AD02,a-pr6.png
1,311.0603029,312.1527716,1661,687,4.4478,2.9652,-5,-3,1092.4687000015201,fixation,AD02,a-pr6.png
1,312.1867722,312.3846585,1294,768,1.4826,2.9652,-5.5,3,197.88629999948202,fixation,AD02,a-pr6.png
1,312.3866762,312.454613,1291.5,773,2.9652,1.4826,2.5,-4.5,67.9368,fixation,AD02,a-pr6.png
2,322.0877115,322.1335755,1278,709,1.4826,2.9652,-2,-3.5,45.864,fixation,AD02,a-pr22.png
2,322.1395735,322.1625594,1278,709,1.4826,0,-2.5,2.5,22.9859,fixation,AD02,a-pr22.png
2,322.1765507,322.2685579,1278,711,1.4826,2.9652,-3,-4,92.0072,fixation,AD02,a-pr22.png
2,322.2725386,322.3005101,1277,711,1.4826,5.1891,-3,-3,27.9715,fixation,AD02,a-pr22.png
2,322.3345112,322.43256,1606,692,2.9652,2.9652,3,3,98.0488,fixation,AD02,a-pr22.png
2,322.4664882,322.4804575,1222,747,5.9304,2.9652,-4,2.5,13.969300000098901,fixation,AD02,a-pr22.png
2,322.492401,322.6864005,1215,750,2.9652,2.9652,-4,-3.5,193.9995,fixation,AD02,a-pr22.png
2,322.7083668,322.7183988,1215,749,0,4.4478,-1.5,-4.5,10.032,fixation,AD02,a-pr22.png
2,322.7363128,322.8722766,1118.5,781,3.7065,2.9652,-3.5,-3.5,135.9638,fixation,AD02,a-pr22.png
